date,petrol_sales,super_petrol_sales,diesel_sales,super_diesel_sales
2025-04-01,2356.843,150.569,4100.821,41.539
2025-04-02,2213.42,101.392,2890.9,95.321
2025-04-03,2430.432,95.852,2170.393,136.879
2025-04-04,2300.022,90.848,2836.253,30.212
2025-04-05,3132.529,84.213,2721.611,0
2025-04-06,2656.792,34.425,1958.916,0
2025-04-07,2554.212,84.488,3279.466,48.34
2025-04-08,2499.68,75.447,2911.719,35.211
2025-04-09,2488.637,67.58,3344.498,116.411
2025-04-10,2798.959,35.567,2236.741,188.64
2025-04-11,3982.427,58.23,2703.796,145.021
2025-04-12,4277.234,122.3,2017.646,200.452
2025-04-13,3478.327,90.475,1717.945,74.025
2025-04-14,1248.194,198.062,622.537,128.073
2025-04-15,2373.924,88.281,1602.459,182.412
2025-04-16,2346.913,124.636,1426.237,47.738
2025-04-17,2550.524,110.747,1890.979,277.33
2025-04-18,2757.123,62.883,1691.665,75.528
2025-04-19,2438.143,30.76,1723.194,154.698
2025-04-20,2419.292,166.513,1900.098,96.13
2025-04-21,2250.873,16.7,2108.345,298.251
2025-04-22,2277.718,91.418,2338.634,45.923
2025-04-23,2418.338,80.885,3031.81,135.044
2025-04-24,2303.824,110.379,2747.057,75.529
2025-04-25,2315.68,79.437,2666.532,151.057
2025-04-26,2704.146,26.17,2178.681,199.547
2025-04-27,2423.453,101.338,1575.374,152.084
2025-04-28,2461.05,129.92,2952.417,115.239
2025-04-29,2280.172,63.711,2446.73,179.848
2025-04-30,2404.365,67.032,2655.859,66.466
,,,,
2025-05-01,2517.46,19.499,2762.072,50.77
2025-05-02,2358.962,137.221,2404.482,66.455
2025-05-03,2866.423,16.129,2851.389,124.017
2025-05-04,2285.264,138.552,1784.284,102.157
2025-05-05,2515.837,110.258,2083.953,189.847
2025-05-06,2296.946,10.411,1910.367,76.924
2025-05-07,1954.274,71.325,2655.077,170.922
2025-05-08,1971.934,89.542,2610.604,50.791
2025-05-09,2421.277,62.611,2389.956,232.956
2025-05-10,2751.733,151.772,2532.507,9.231
2025-05-11,3140.862,10.264,1952.165,176.94
2025-05-12,4242.094,120.888,2220.967,314.83
2025-05-13,2897.352,48.224,2548.521,55.385
2025-05-14,2598.077,121.666,2954.18,143.076
2025-05-15,2379.234,80.653,2920.89,66.155
2025-05-16,2596.872,78.394,2393.853,102.371
2025-05-17,2215.262,150.742,2052.781,193.855
2025-05-18,2523.875,85.839,1975.42,164.862
